OCCU_DESC,WK_TYPE,CJOB1_COUNT,CJOB_NAME1,CJOB2_COUNT,CJOB_NAME2,JOB_PERSON,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,NT_L,NT_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE
"【台北區】資深專員(某知名電動車品牌專席服務)",全職,06,客服／門市,060102,客戶服務人員,1,20351231,"1.接聽0800客服專線及障礙排除(專線電話客服)。 2.依照客服作業流程提供客戶服務，擅客戶關係維護。3.基本服務流程學習能力佳。 4.跨部門溝通協調及客戶問題解決能力佳。 5.其他主管交辦事項。★上班地點：台北-台北市大安區忠孝東路四段270號8樓★上班時間：早班 07：00 ～ 16：00、08:00 ～ 17:00午班 13：00 ～ 22：00(上述上班時段可面議)★小夜班(固定)16:00～01:00★(22：00以後下班者)享夜勤津貼★無需輪值大夜班★月休8-10天★非派遣/業務性質工作，無需推銷★薪資＋班別津貼＋排班獎金＋評核獎金",台北市大安區,1年以上,日班、中班,月薪,32000,36000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=302421&HIRE_ID=13338175","永昇國際開發股份有限公司",20250213
"【台北區】客服專員(某知名電動車品牌專席服務)",全職,06,客服／門市,060102,客戶服務人員,1,20351231,"1.接聽0800客服專線及障礙排除(專線電話客服)。2.依照客服作業流程提供客戶服務，擅客戶關係維護。3.略有客戶服務流程規劃能力。 4.略懂專案執行，可接受專案能力培養。5.有專案問題解決能力尤佳。 6.其他主管交辦事項。★上班地點：台北-台北市大安區忠孝東路四段270號8樓★上班時間：早班 07：00 ～ 16：00、08:00 ～ 17:00午班 13：00 ～ 22：00(上述上班時段可面議)★小夜班(固定)16:00～01:00★(22：00以後下班者)享夜勤津貼★無需輪值大夜班★月休8-10天★非派遣/業務性質工作，無需推銷★薪資＋班別津貼＋排班獎金＋評核獎金",台北市大安區,1年以上,日班、中班,月薪,29000,34000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=302421&HIRE_ID=13338205","永昇國際開發股份有限公司",20250213
"【台北區】文字客服專員(某知名電動車品牌專席服務)",全職,06,客服／門市,060102,客戶服務人員,1,20351231,"1.文字客服(1-2)年服務經驗。2.依照客服作業流程提供客戶服務。3.略有客戶服務流程執行能力。 ★上班地點：台北-台北市大安區忠孝東路四段270號8樓★上班時間：早班 09：00 ～ 18：00午班 13：00 ～ 22：00(上述上班時段可面議)★(22：00以後下班者)享夜勤津貼★無需輪值大夜班★月休8-10天★非派遣/業務性質工作，無需推銷★薪資＋班別津貼＋排班獎金＋評核獎金",台北市大安區,1年以上,日班、中班,月薪,32000,35000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=302421&HIRE_ID=13338223","永昇國際開發股份有限公司",20250213
"全屋淨水業務 (台北)",全職,02,業務／貿易／銷售,020102,業務人員,3,20251231,"德國JUDO全戶淨水＆格溫拜克淨水是來自德國賓士故鄉的全戶智慧淨水品牌。好水帶來好生活。我們引進超越85年的淨水專業智慧結晶、技術與純德國製造的產品品質， 結合高規格的安裝品質， 致力提升台灣家戶的用水品質，降低使用化學清潔劑對環境、人體與家電的傷害， 為台灣人帶來不凡的用水體驗。現在我們在尋找共同成長的業務開創夥伴，在這個團隊裡，你可以不帶專業進來，只要你具備願意學習與付出的熱忱，我們負責讓你的熱忱得以發光發熱。在這個團隊裡，你可以隨時提出有用的建議，我們也會適時給你帶隊向上的機會。歡迎對家庭用淨水有熱忱的您加入團隊！ 1. 業務經驗不拘，有業務經驗或銷售等相關經驗者佳。 2. 尋求有設計，衛浴與建案經驗的業務或有業助經驗卻想從事業務工作的人才。3. 會簡單的CAD佳。4. 有野心，想挑戰年薪破百。5. 有業務熱誠、有衝勁、具市場開發經驗佳。6. 有創業經驗、具建商通路開發能力佳。7.熟悉衛浴、建案通路者佳8.需自備自小客車(補助油資/停車/etag/電話費)(請自備一個你自身曾經突破過最大的困難的故事， 面試時敘述)",台北市松山區,2年以上,日班,月薪,30000,40000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=313919&HIRE_ID=13166991","世磊實業股份有限公司",20241122
"北區長照系統護理/長照背景業務專員",全職,02,業務／貿易／銷售,020102,業務人員,3,20281231,"•	新客戶開發與關鍵客戶維護•	業務文件製作•	協助團隊建設",台北市信義區,3年以上,日班,月薪,38000,100000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=355178&HIRE_ID=13841687","構思數位策略股份有限公司",20250930
"人資",全職,03,人資／法務／智財,030103,人力資源助理,1,額滿為止,"1. 人員召募及面試，錄取通知、發佈任用及辦理新人報到. 2. 維護人事資料檔案與系統及相關人員差勤假卡管理與製表. 3. 員工勞健保勞退之線上加退保作業及年度所得統計申報. 4. 辦理各類職工福利相關活動 5. 協助執行績效考核作業 6. 其它主管交辦工作",台北市中山區,2年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=480431&HIRE_ID=13917961","湛揚科技股份有限公司",20251113
"儀器貿易業務助理",全職,02,業務／貿易／銷售,020103,業務助理,1,20260630,"🌟誠徵｜業務助理｜加入我們，一起打造專業儀器貿易服務🌟📍工作地點：台北市內湖區達因國際實業有限公司是深耕工業儀器與環境監控領域的企業，以儀器設備進出口與銷售起家，擴展到提供多元解決方案給工業、醫療、科學研究、傳產等各式領域的客戶。現誠摯邀請對業務支援與溝通協調有熱情的你加入團隊，與我們一同成長！【工作內容】你將是團隊中關鍵的後勤推手，協助業務同仁順利推進每一筆交易與客戶關係：1.協助開發潛在客戶、維繫供應商與現有客戶關係2.客戶訂單處理、報價追蹤及文件歸檔3.ERP系統操作與商品進出貨流程協助4.商品上架至電商平台，基本網站內容更新與維運5.協助主管交辦之專案或行政支援事項【我們希望你具備以下條件】✅ 有客服或業務相關經驗者尤佳✅ 熟悉Office操作（Excel、PowerPoint、Outlook等）✅ 具備基本美編能力（如照片去背、簡單型錄/文宣設計）✅ 具備基礎中英文書信溝通能力✅ 主動積極、細心負責，擅於溝通協調✅ 樂於團隊合作，能在多任務中保持良好工作節奏【為什麼加入我們？】✔️ 與國際客戶及品牌合作，拓展你的國際視野✔️ 學習多元技能：從業務支援到電子商務，培養全方位職能✔️ 和一群專業又好相處的夥伴一起工作歡迎細心、有責任感、樂於與人互動的你加入我們，一起創造更多可能！📩 請將履歷寄至service@umarket.com.tw ，期待你的加入！",台北市內湖區,無,日班,月薪,28590,30000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1002897&HIRE_ID=10595165","達因國際實業有限公司",20250502
"法務人員",全職,03,人資／法務／智財,030302,法務／智財主管,1,額滿為止,"1.訴訟及非訟案件處理(撰狀、開庭等)2.合約撰擬、審閱，法律文件(如存證)、公文、函文撰寫、寄送3.法律意見及解決方案提出4.跨部門(單位)作業協調溝通5.主管交辦事項其他條件1.具5年以上法務相關經驗2.具訴訟及非訟案件處理經驗3.抗壓性高，能獨立作業",台北市南港區,5年以上,日班、輪班二班制,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=969&HIRE_ID=13956065","吸引力綜合百貨股份有限公司",20251209
"ATT 新餐飲事業_芯聚苑_領級幹部 【一頭班】【ATT Valley】",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,額滿為止,"目前集團將於信義商圈開展全新餐飲事業，歡迎餐飲同好加入集團一起攜手共創新的未來。本職務是公司人才儲備的一員，能透過多元的培訓計畫，發揮自己的潛力並快速成長。未來將有機會晉升高階主管，開啟事業上的新局面。【資歷條件】俱有連鎖餐廳經營幹部及其他營運管理經驗。【工作內容】- 負責店內的管理和日常運營。- 負責店內安全和衛生的維護。- 協調外場點餐與內場廚師料理的順序與速度。- 主動詢問顧客需求與對服務之滿意度，並處理顧客抱怨。- 建立員工表現及顧客滿意度的標準。【薪酬福利】-職務津貼-全勤獎金-獎金＋管理分紅",台北市信義區,1年以上,輪班二班制,月薪,42000,50000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=969&HIRE_ID=13956163","吸引力綜合百貨股份有限公司",20251124
"ATT新餐飲事業_芯聚苑_儲備店長(餐廳主任級) 【一頭班】【ATT Valley】",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,額滿為止,"【資歷條件】曾有連鎖餐廳經營管理經驗，需俱排班、訂貨、訓練等資歷。【工作內容】- 負責店內的管理和日常運營。- 負責店內安全和衛生的維護。- 協調外場點餐與內場廚師料理的順序與速度。- 主動詢問顧客需求與對服務之滿意度，並處理顧客抱怨。- 建立員工表現及顧客滿意度的標準。【薪酬福利】-職務津貼-全勤獎金-獎金＋管理分紅【資歷條件】俱有連鎖餐廳經營幹部及其他營運管理經驗。【工作內容】- 負責店內的管理和日常運營。- 負責店內安全和衛生的維護。- 協調外場點餐與內場廚師料理的順序與速度。- 主動詢問顧客需求與對服務之滿意度，並處理顧客抱怨。- 建立員工表現及顧客滿意度的標準。【薪酬福利】-職務津貼-全勤獎金-獎金＋管理分紅",台北市信義區,1年以上,輪班二班制,月薪,50000,55000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=969&HIRE_ID=13956205","吸引力綜合百貨股份有限公司",20251124
"ATT新餐飲事業_芯聚苑_餐飲服務員 【一頭班】【ATT Valley】",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,額滿為止,"目前集團將於信義商圈開展全新餐飲事業，歡迎餐飲同好加入集團一起攜手共創新的未來。本職務是公司人才儲備的一員，能透過多元的培訓計畫，發揮自己的潛力並快速成長。未來將有機會晉升高階主管，開啟事業上的新局面。【資歷條件】俱餐飲經驗一年佳，無經驗者亦可，期待對餐飲有興趣及熱忱者。【工作內容】- 餐飲外場服務。- 顧客需求服務，處理顧客抱怨。- 負責結帳、收銀之工作。【薪酬福利】-全勤獎金-獎金＋管理分紅",台北市信義區,1年以上,輪班二班制,月薪,40000,40000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=969&HIRE_ID=13956241","吸引力綜合百貨股份有限公司",20251124
"門市髮型設計師(保障底薪)-台北",全職,17,醫療／美容／保健,170202,美髮技術員,10,20251231,"顛覆一般傳統Salon，結合專業技術與門市銷售，獨家客製化開版開模，量身訂製自然服貼醫療級假髮，不用浪費培養的一技之長，除了外型設計改造，更是讓顧客重拾自信迎接全新人生的魔髮師。  1. 透過專業產品諮詢介紹為顧客推薦合適髮品。2. 客製化”量身訂製的假髮設計”到髮型設計一手包辦。3. 預約制，獨立VIP室提供顧客隱私空間。4. 商品吹整、環境維護，舒適環境沒煩惱。5. 為顧客解決頂上煩惱。「疫情時期大家都不敢出門?」不用怕，我們有穩定的客源！！「每個月薪資都不穩定怎麼辦?」不用擔心，我們保障底薪！！「公司福利都沒有制度?」不用委屈，安心企業完善的制度！！「除了美髮沒有其他技能?」不用放棄，原本的技能還能學習專業技術！！【工作內容】 1. 透過專業產品諮詢為顧客推薦合適商品。  2. 量身訂製的假髮客製到髮型設計完整服務流程。3. 顧客售後服務(保養、清洗、梳整…等)。4. 全省預約制，獨立VIP室提供顧客隱私空間。  4. 門店環境及商品整理維護。   【公司福利】 1. 完整教育制度，公平考核升遷管道。  2. 培訓耗材、教育費用公司負責到底。  3. 基本勞健保，團體保險的安心企業。 4. 勞基法完善休假制度，工作及生活都能同時兼顧。 想要學習更前端技術，擁有滿腔服務熱忱，真誠的歡迎成為魔髮部屋的夥伴！！ 歡迎透過魔髮部屋的影音平台深入瞭解我們！！https://youtu.be/sLinK-r925whttps://youtu.be/PTtEnS3QJSA",台北市大安區,2年以上,中班,月薪,30000,45000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=381300&HIRE_ID=10207307","沃生國際企業有限公司",20221130
"門市髮型準師(保障底薪)-台北",全職,17,醫療／美容／保健,170202,美髮技術員,2,20251231,"髮型及造型設計。( 修髮、洗髮及吹、整、燙、髮型等工作。)1. 基本顧客接待，展現你/妳的親和力。2. 透過專業產品諮詢介紹協助顧客解決問題。3. 顧客商品售後服務(保養、清洗、梳整…等)。4. 商品吹整、環境維護，舒適環境沒煩惱。5. 協助設計師，相互成長。，，，，，髮型及造型設計。( 修髮、洗髮及吹、整、燙、髮型等工作。)，髮型師，",台北市大安區,1年以上,中班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=381300&HIRE_ID=10207369","沃生國際企業有限公司",20221130
"B007 電銷人員",全職,02,業務／貿易／銷售,020302,電話行銷人員,5,20261231,"工作內容1.電話商品行銷及售後服務2.客源開發3.客戶資料維護其他條件1.一年以上工作經驗，具保險、銀行理專、保健保養品電話行銷等經驗尤佳2.具服務熱忱、情緒管理能力佳3.擅溝通表達、個性開朗4.熟基本文書處理5.認真負責、具工作企圖心，有意願於電話行銷領域發展者6.另有優渥績效獎金本公司具完整的培訓流程，新算是新手，亦能讓您入職後可以輕鬆學習及短時間內上手作業，採固定月薪＋績效獎金 ",台北市內湖區,1年以上,日班,月薪,29000,29000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=186921&HIRE_ID=13806017","年代網際事業股份有限公司",20251115
"M023 系統工程師(資訊科技部)",全職,08,資訊／軟體／系統,080106,資訊設備管制人員,2,20261231,"工作內容1.管理Window與Linux伺服器2.管理防火牆、交換機等網路設備3.設定AWS、Azure等雲端服務4.管理新聞數位系統其他條件1.1~2年以上系統、網路相關工作經驗2.具基礎網路知識工作技能1.伺服器網站管理維護2.安裝與維護網路安全系統3.規劃與管理防火牆",台北市內湖區,2年以上,輪班三班制,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=186921&HIRE_ID=13810027","年代網際事業股份有限公司",20251115
"B009 行銷企劃培育主管(年代健康生活)",全職,02,業務／貿易／銷售,020302,電話行銷人員,2,20261231,"工作內容1.負責行銷企劃案的撰寫、規劃、籌備、執行，並對其效益進行分析與建議2.進行產業競爭分析及市場調查分析3.負責相關文宣資料的規劃與製作4.社群網站操作如FB、IG、YT、LINE等廣告策劃與投放5.經營與管理品牌、產品及公司整體形象推廣，增加社群會員黏著度工作技能1.網路活動規劃與執行2.品牌知名度推廣3.社群媒體經營管理4.網站流量成效追蹤5.廣告企劃案╱文案撰寫6.廣告效益評估其他條件1.熟悉網路世界，時下熱門話題不放過《Youtuber/Podcast/PTT/Dcard等》2.能配合團隊工作並了解廣告業的生活型態3.抗壓力強，能為了琢磨好作品而一改再改4.具良好的溝通協調能力，願意學習新事物，重視團隊合作精神5.具醫藥保健市場相關業務經驗者尤佳6.需出差，累積時間未定",台北市內湖區,2年以上,日班,月薪,35000,45000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=186921&HIRE_ID=13810031","年代網際事業股份有限公司",20251115
"N068 執行企劃(1800年代晚報 張雅琴說播批評)",全職,13,傳播／娛樂／藝術,130107,節目企劃,1,20261231,"工作內容1.節目議題發想、新聞議題包裝2.腳本撰寫、來賓溝通、後製處理3.完成其他主管交辦事項工作技能1.節目企劃2.節目內容包裝與規劃製作3.各式影片剪接後製作業其他條件1.傳播相關科系畢，無經驗可2.熟悉新聞、PPT使用",台北市內湖區,2年以上,日班,月薪,40000,46000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=186921&HIRE_ID=13817121","年代網際事業股份有限公司",20251122
"約僱工友",全職,19,清潔／家事／托育(保母),190103,工友,1,20251231,"校園環境清潔維護、大樓管理及臨時性活動支援（含搬運物品）。",台北市士林區,無,日班,月薪,31400,31400,國中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=295161&HIRE_ID=13266629","東吳大學",20250109
